,authors,tweets,likes,retweets,time
115,marijke_fleuren,"RT @eurohockeyorg: #TheFutureIsBright #Umpires #EquallyAmazing 

During the @EHLHockeyTV finals, 38 umpires from 16 nations came together w…",0,3,2022-04-29 12:55:46+00:00
116,vanessasaksik,"RT @CathelijneR: 📢 WE ARE SUPER STOKED TO ANNOUNCE BOTH OUR TEAMS WILL COMPETE IN #Paris2024!📢🏑🇨🇵
#Hockey
@FIH_Hockey @eurohockeyorg @Agenc…",0,11,2022-04-29 10:14:02+00:00
117,MartinMilojevic,Serbian Hockey Players greeted in Poland with a Ukr Flag &amp; the old Ustasha slogan Srbe na Vrbe It means Serbs should hang from Trees but no there are no Nazi sympathizers in Ukraine &amp; sadly in quite a lot of Eastern European Countries Remember they're all allied with the West! https://t.co/h2369UGqVd,0,0,2022-04-29 09:55:50+00:00
118,WorldHockeyNews,"#THP Messy ending to Belgian hockey season as Royal Leopold punished over visa fiasco

Just days before the league play-offs, top Belgian side Royal Leopold have been handed a severe punishment from its national governing body after illegally using touri… https://t.co/YwcFDlvlGL",0,0,2022-04-29 09:39:11+00:00
119,WorldHockeyNews,"#EHF #FridayFocus – EHF Umpires Courses at the EHL Finals

29th April 2002, Brussels, Belgium: Our FridayFocus today is all about our Umpires! Alongside the EHL Finals in Amsterdam, the EHF held its three umpiring courses: Umpires for Nations, Umpires fo… https://t.co/CRUZxBlV6E",0,0,2022-04-29 08:11:24+00:00
120,TPedersenSmith,So good to have our umpire programmes face to face again after two years of Zoom &amp; Teams! https://t.co/biO8GqyN3K,6,0,2022-04-29 08:02:09+00:00
121,WorldHockeyNews,"#THP Team GB hockey based at Saint-Germain-en-Laye for Paris Olympics prep

Team GB hockey teams will be one of five sports to be based at the French town of Saint-Germain-en-Laye in the run-up to the Paris 2024 Olympic Games. The city has agreed a partn… https://t.co/Uo2JQm23Wv",0,1,2022-04-29 07:39:53+00:00
122,eurohockeyorg,"#TheFutureIsBright #Umpires #EquallyAmazing 

During the @EHLHockeyTV finals, 38 umpires from 16 nations came together with their mentors to discuss, learn and be better! 

Thanks to Cameron for his leadership in this hugely successful event

Read more: https://t.co/O2wcNPgLHJ https://t.co/3F3qcOlUnV",11,3,2022-04-29 07:32:41+00:00
123,slapshotPL,"@PolandHockey Lyszczarczyk trying too hard to impress and then takes pathetic penalty shot. Missing players is not an excuse, we were leading twice and wasted it with lack of focus and low energy in third. https://t.co/VcAj1W34YJ",0,0,2022-04-29 07:29:38+00:00
124,eurohockeyorg,#WINS We are extremely proud to be a partner in this project. Cameron will present our compendium of projects which are all being delivered under our #equallyamazing strategy. #proud https://t.co/x2UqJbQSog,3,2,2022-04-29 06:50:45+00:00
125,WorldHockeyNews,"#HWN Belgium: Condemned, Leopold Will Not Play the Semi-finals of the Playoffs

Recognized as guilty of having violated the rules by indirectly remunerating the Argentinian Federico Monja, the Uccle club, second in the classic phase, will have to settle … https://t.co/NwZ91xyklH",1,0,2022-04-29 06:27:30+00:00
126,WorldHockeyNews,"#HWN Belgium: Royal Leopold Sentencing Hits Hard

Leopold was sentenced to forfeit all their matches played with two ‘illegal’ Argentinian players

The Uccle club was accused of irregularities in the qualifications under the tourist visas of the two Arge… https://t.co/tbM2MzqHLV",1,0,2022-04-29 06:27:29+00:00
127,AllSportDB,🏒 2022 #IceHockey World Championship - Division I B in #Poland 🇵🇱 #Tychy Day 4 #iihf @IIHFHockey #IIHFWorlds 🎫 Tickets link available https://t.co/omcEmWGkMk,0,0,2022-04-29 05:45:00+00:00
128,WorldHockeyNews,"#PAHF Potchefstroom offers unique learning opportunities The 2021 Junior Hockey Women’s World Cup, which took place in Potchefstroom, South Africa in April 2022 was a wildly different event to any of the eight editions that had preceded it. https://t.co/QbwM7aP7MH",1,1,2022-04-29 01:36:18+00:00
129,PolandHockey,@MikePru0 A lot of injuries over the past two years,0,0,2022-04-28 23:27:03+00:00
130,PolandHockey,@MikePru0 Yeah. Ukraine was upset and they had right to be.,0,0,2022-04-28 23:25:45+00:00
131,MikePru0,"@PolandHockey Wasn’t so obvious live, but this is pretty clear what the call should have been 😔",0,0,2022-04-28 23:22:42+00:00
132,MikePru0,"@PolandHockey Not to make excuses, though missing a couple solid players. And what’s happened with Kapica? Just fell off?",0,0,2022-04-28 23:21:41+00:00
133,poland_kyle,RT @spittinchiclets: Hockey is the greatest sport,0,84,2022-04-28 22:36:01+00:00
134,MikePru0,"Shouldn’t have gone into OT, Poland came out flying in the 1st (compared to Monday) and that 5-on-3 PK goal allowed deflated things. The turnover leading to the breakaway goal was also unacceptable. John Murray was a 🧱 wall, again! https://t.co/lKxxITQ7ZS",1,0,2022-04-28 22:02:11+00:00
135,ABCHAMP11,"RT @Sz1909_Szemberg: Pas shoots again, 2-1 Poland. 🇵🇱🇺🇦
I so hope that Alan Łyszczarczyk scores a beauty that makes the TSN highlight reel…",0,1,2022-04-28 21:17:12+00:00
136,dud_mar,"@IIHFHockey @PZHL Not @PZHL 
Polish National Hockey Team 
Poland 🇵🇱
Other people",1,0,2022-04-28 21:15:35+00:00
137,DobboNI,RT @GBHockey: The @ScottishHockey women head to Belfast for 3️⃣test matches against @irishhockey this weekend in prep for @birminghamcg22 a…,0,5,2022-04-28 21:09:46+00:00
138,PolandHockey,"I am not too concerned with ""only"" beating Ukraine in overtime. 

Ukraine is getting better. They got two defenders, I would probably take over any Polish defensemen.

Poland didn't play up to what we know this team can be, and going 0-5 on the powerplay is excusable.",2,1,2022-04-28 20:49:10+00:00
139,IdeallyaNews,The national hockey team of Ukraine lost in a series of bullets of Poland at the World Hockey Championship: the result - #ukraine #poland #warsaw #world #team #kyiv https://t.co/IdM9mTZF08,0,0,2022-04-28 20:48:23+00:00
140,Crayfordmedia,RT @GBHockey: The @ScottishHockey women head to Belfast for 3️⃣test matches against @irishhockey this weekend in prep for @birminghamcg22 a…,0,5,2022-04-28 20:45:35+00:00
141,HiFromYuki,"RT @Sz1909_Szemberg: The rink in Tychy where Poland's best hockey player, Mariusz Czerkawski, learned his trade. Tonight, Poland meets Ukra…",0,8,2022-04-28 20:42:17+00:00
142,PolandHockey,"Poland escapes Ukraine with a W. 

3-2 in a shootout 

Pas 2G
Murray 31 svs

They play Serbia tomorrow at 2:00 US EST.",3,0,2022-04-28 20:40:48+00:00
143,PolandHockey,"Round 5 of the shootout

Ukraine: Mikhnov - No Goal 

3-2 🇵🇱",0,0,2022-04-28 20:39:37+00:00
144,PolandHockey,"Round 3 of the shootout

Ukraine: Lyalka - GOAL
Poland: Bukowski - GOAL

2-1 🇵🇱",0,0,2022-04-28 20:37:51+00:00
145,PolandHockey,"Round 2 of the shootout

Ukraine: Simchuk - No Goal 
Poland: Walega - No Goal",1,0,2022-04-28 20:36:51+00:00
