,authors,tweets,likes,retweets,time
33,WorldHockeyNews,"#PAHF Argentina, Uruguay &amp; Brazil Finalists of the South American Youth Games Argentina (men &amp; women) easily outperformed its rivals in the semifinals. Brazil (men) and Uruguay (women) secured two historic wins and classified into the finals of the tourn… https://t.co/BbdvUZaVdo",0,1,2022-05-07 01:36:05+00:00
34,AllWalesSport,"RT @riamale: Delighted to have won the bid to host both Girls &amp; Boys Euro championships next July 

Through hosting major events we aim to…",0,3,2022-05-06 22:23:52+00:00
35,Dai_Sport_,@riamale @eurohockeyorg Congrats. Good news.,0,0,2022-05-06 19:34:12+00:00
36,Dai_Sport_,"RT @riamale: Delighted to have won the bid to host both Girls &amp; Boys Euro championships next July 

Through hosting major events we aim to…",0,3,2022-05-06 19:33:58+00:00
37,riamale,"Delighted to have won the bid to host both Girls &amp; Boys Euro championships next July 

Through hosting major events we aim to inspire more people to play our wonderful game 

Thank you to @eurohockeyorg for awarding us this great opportunity 

#juniordragons #playingforthedragon https://t.co/Hxi22AsDfb",60,3,2022-05-06 19:29:53+00:00
38,WorldHockeyNews,"#HWN England: Kwan Browne Appointed Men’s Head Coach at Southgate HC

Southgate Hockey Club has today appointed Kwan Browne as their new Men’s Head Coach ahead of the 2022/2023 season.

Kwan Brown at Southgate Hockey Centre, Trent Park, London, UK on 30 … https://t.co/FmzldHB52B",0,0,2022-05-06 19:27:48+00:00
39,CoachesGreat,"We explore leadership through the lens of high-performance sport by interviewing Great Coaches. On this episode we speak to Hockey Coach Danny Kerry. 
🔉 Spotify https://t.co/fd7otiEvGr
🔉 Apple https://t.co/tfWhwmTCz2 
@Danny_Kerry @GBHockey @eurohockeyorg @EnglandHockey https://t.co/M4iJUCfTs2",0,0,2022-05-06 17:56:03+00:00
40,IreBoysJag,Germany confirmed for the 2023 U18 Europeans ☘️☘️☘️ #JAG2023 https://t.co/jGsFmWvNCR,3,1,2022-05-06 17:04:04+00:00
41,WorldHockeyNews,"#HI IRISH WOMEN’S SQUAD NAMED FOR UPCOMING GAMES

Hockey Ireland senior women’s coach Sean Dancer has named a 23 player national squad panel ahead of a busy 2022 which includes July’s World Cup and August’s EuroHockey Championship qualifiers.

As part of… https://t.co/0dEac1FbOp",0,0,2022-05-06 16:55:25+00:00
42,leon_rutten,"RT @eurohockeyorg: #newsflash #EHCU18 

The 2023 EuroHockey U18 Youth Championships venues have been announced:

https://t.co/uUIqtGCTFi ht…",0,4,2022-05-06 16:40:47+00:00
43,ehf_marijke,"RT @eurohockeyorg: #newsflash #EHCU18 

The 2023 EuroHockey U18 Youth Championships venues have been announced:

https://t.co/uUIqtGCTFi ht…",0,4,2022-05-06 16:36:32+00:00
44,donnelle,"RT @Ulster_Umpires: 🚨Men’s Appointments 07/05/22🚨
@UlsterHockey Junior League Cup Finals (1 of 2)

Junior 3
@NewryHockeyClub 2s v @BangorHC…",0,2,2022-05-06 16:27:45+00:00
45,BangorHC,"RT @Ulster_Umpires: 🚨Men’s Appointments 07/05/22🚨
@UlsterHockey Junior League Cup Finals (1 of 2)

Junior 3
@NewryHockeyClub 2s v @BangorHC…",0,2,2022-05-06 16:22:54+00:00
46,BangorHC,"RT @Ulster_Umpires: 🚨Men’s Appointments 07/05/22🚨
@UlsterHockey Linden Cup Final
PSNI v @BangorHC - Oli Brown &amp; Peter Watson
🏑😤♻️🟨🔴

@fhump…",0,1,2022-05-06 16:22:50+00:00
